number,course_id,cat_num,1s,2s,3s,4s,5s
HIST-LIT 98r,2537,2766,0,0,0,2,7
SLAVIC Dr,4532,1096,0,0,0,1,1
PHYSICS 247r,4120,8665,0,1,2,0,0
GERMAN Dab,2090,1351,0,1,0,3,4
PSY 992,4246,4990,2,2,0,1,0
YIDDISH A,3900,4623,0,1,0,2,0
HIST-LIT 99,2538,5362,0,1,1,3,4
MODGRK A,5017,8604,0,0,0,0,2
VES 50,5158,4907,0,0,0,2,8
COMPSCI 222,1257,2493,0,0,3,6,4
PHIL 122,4049,9025,0,0,1,3,5
PHYSICS 262,4127,1157,0,5,6,5,3
AM-CIV 200,2539,3662,0,0,0,3,3
ECON 2140,1036,7210,1,0,3,11,5
PSY 18,4232,8560,0,2,6,6,9
PHYSICS 95,4097,2806,0,0,1,3,4
PHYSICS 251a,4122,2191,1,1,12,8,6
MATH 25a,2841,1525,0,0,3,12,14
ENG-SCI 202,1353,5080,0,0,1,2,7
ECON 975,933,3281,0,2,0,4,4
ECON 2110,1034,7213,7,6,4,2,0
ECON 2530a,1066,4537,0,1,1,4,4
CHNSE Bx,757,7066,0,1,6,10,16
LATIN Bam,4999,7123,0,0,0,3,2
ANTHRO 98xa,114,2959,0,0,2,2,1
SPANSH Ax,4476,5318,1,1,2,2,1
SLAVIC 113,4546,955,1,0,1,1,6
FRSEMR 21s,1771,2067,0,1,2,0,1
VIETNAM Ba,921,3873,0,2,0,1,3
GOV 1100,2211,7687,0,0,1,3,1
GERMAN 65,2094,2678,0,0,1,1,1
MATH 121,2858,7009,0,3,3,4,0
GOV 2105,2265,154,0,0,1,3,0
ECON 1640,996,7875,0,0,1,6,7
JAPNHIST 115,857,5756,0,0,0,0,6
SOCIOL 203a,4689,3315,0,2,2,6,3
ECON 2723,1077,2847,0,0,0,1,6
FRENCH 70b,4389,6720,0,1,2,10,2
ANTHRO 1010,120,8727,0,0,1,10,3
GERMAN 62,2093,2201,0,0,0,3,6
FRSEMR 25w,1805,49,0,0,0,1,5
ANTHRO 1850,175,1686,0,0,2,3,2
FRSEMR 25k,1798,3913,0,0,3,1,2
FOLKMYTH 114,1759,7982,0,0,1,1,0
CLASARCH 100,4959,3132,0,0,1,3,4
ESPP 78,1567,3613,0,4,6,6,0
FRSEMR 22z,1779,8839,1,3,1,2,2
SOCIOL 243,4708,2022,0,0,1,2,1
HEB 1418,2735,1437,0,0,0,0,4
GOV 1368,2229,8971,2,4,11,21,8
PSY 1950,4298,4889,1,0,0,4,6
IRANIAN 209b,5264,18317,0,0,0,2,2
FRSEMR 49n,1890,9965,0,0,2,5,0
PHIL 161,4062,7414,0,0,0,6,0
ENG-SCI 249,1378,3145,0,0,1,1,0
ECON 980b,934,1581,0,0,1,5,4
STAT 231,4851,7537,0,1,5,4,0
ENGLISH Ckr,1471,6781,0,0,1,2,5
OEB 253r,3986,8104,0,0,0,0,1
VES 51a,5159,7526,0,0,1,2,3
PHYSICS 15c,4093,8676,2,6,5,2,0
HIST-LIT 91r,2535,334,0,0,2,2,3
LATIN Aab,4995,7111,0,1,0,1,3
SLAVIC 103,4543,8638,0,0,0,1,6
STAT 100,4827,3808,3,10,25,24,16
PSY 2530r,4335,2364,0,0,0,0,2
AFRAMER 90r,6,7010,2,1,5,8,5
PSY 2570r,4338,4440,0,1,0,0,2
MODGRK B,5018,8187,0,0,1,0,1
SWAHILI A,96,1878,0,0,1,5,2
COMPSCI 226r,1260,1749,2,3,1,13,7
APMTH 205,1128,1370,0,0,3,6,6
ASTRON 251,283,5381,2,3,2,0,0
HAA 242,2601,7561,0,0,1,0,1
OEB 275r,3991,5004,0,0,1,2,1
BIOSTAT 235,413,7549,0,2,1,1,1
JAPAN 140a,850,3688,0,0,1,4,3
PSY 13,4229,8706,0,0,3,0,7
PHYSICS 16,4094,2019,1,4,5,10,23
NEUROBIO 220,3351,2141,0,0,0,3,5
MATH 213a,2878,1621,0,0,0,2,13
ENG-SCI 181,1348,3889,1,0,5,5,4
ECON 2610,1070,3766,0,1,2,2,1
CHNSE 106a,758,1185,0,0,0,4,9
KOREAN 130a,880,2071,0,0,1,2,6
GREEK Ba,4982,4696,0,0,3,4,2
CHEM 242,508,2971,1,1,3,2,0
MCB 52,3529,1938,6,39,44,48,28
MCB 169,3557,2518,0,0,9,7,24
APMTH 201,1126,3241,0,1,6,10,13
PHIL 3,4038,1996,1,0,3,9,8
SLAVIC Ac,4520,496,1,0,0,3,2
STAT 210,4843,2487,4,1,3,2,1
STAT 104,4829,4582,0,5,22,41,31
MCB 115,3538,8703,0,1,2,2,0
ENG-SCI 139,1336,994,0,0,2,4,2
CHNSE 150a,773,5621,0,0,1,4,8
BIOSTAT 230,409,6183,1,1,2,1,1
ECON 2010c,1013,4431,0,0,6,7,1
LING 130,2795,76462,1,2,3,2,0
FRSEMR 25p,1801,1838,0,0,0,6,4
STAT 135,4836,3451,1,3,4,4,2
ENG-SCI 207,1355,5993,0,0,3,3,1
ANE 100,3715,702,0,1,1,2,0
ECON 1393,979,6516,0,2,6,1,5
GOV 1780,2240,272,0,2,7,9,2
ENG-SCI 222,1362,696,0,1,1,3,3
EASTD 140,837,856,0,0,1,3,8
FRSEMR 26j,1810,7529,0,0,4,4,1
SOCIOL 165,4673,8272,0,0,4,10,5
ESPP 90a,1568,2189,0,0,6,5,2
KOREAN Bxa,875,120,0,0,0,1,2
ENGLISH Crr,1476,1893,0,0,0,1,9
NEC 98r,3858,2612,0,0,0,0,0
GOV 99r,2194,3652,3,4,14,11,2
SEMPHIL 140,3873,8602,0,0,0,0,1
HAA 70,2550,4593,0,0,6,13,17
GOV 1730,2235,6806,1,0,4,16,21
PHYSICS 283b,4132,7153,0,1,1,1,8
MATH 141,2868,600,0,1,0,2,2
LING 171,2803,4346,0,0,0,0,0
PSY 2010,4300,6515,1,1,2,3,1
TURKISH 120a,3889,4009,0,1,1,2,2
NEUROBIO 200,3347,6062,1,2,2,3,1
MATH 212a,2876,5446,0,1,2,4,2
GOV 20,2150,6166,0,2,11,23,46
ECON 2020a,1015,339,0,0,3,2,6
ECON 2010a,1011,8656,2,3,10,5,1
JAPAN Ba,841,2014,0,0,1,3,32
GENETIC 201,3098,4225,1,2,6,15,4
ANTHRO 2650a,212,1752,0,0,2,1,0
PHYSICS 210,4115,4840,0,4,1,2,1
ECON 2040,1018,8485,0,0,0,2,1
KOREAN 150a,884,1936,0,1,0,0,0
GOV 2285,2277,1566,0,0,0,1,4
HIST 1877a,2449,1770,0,1,2,4,7
MATH 131,2864,2381,1,2,10,19,5
MATH 153,2872,3004,0,1,5,1,9
VES 71,5176,1971,2,1,10,4,4
BIOSTAT 232,411,131,0,0,0,2,4
FRSEMR 25g,1795,8075,1,0,1,1,7
OEB 107,3940,1318,0,0,2,1,5
PSY 1801,4285,4906,0,0,0,3,1
MUSIC 2,3613,645,0,3,8,15,13
VES 96r,5184,7299,0,0,0,5,2
HAA 271x,2613,1598,0,0,0,2,1
PSY 1352,4257,9399,0,0,0,0,3
PHYSICS 175,4111,9076,0,1,1,3,4
COMPLIT 263,566,3125,0,0,1,0,6
FRSEMR 25n,1799,9589,0,0,0,0,9
LING 83,2773,8319,0,0,1,4,3
ECON 1018,959,1775,0,2,7,9,11
ENGLISH Clr,1472,6121,0,0,0,0,8
PHYSICS 123,4098,864,2,2,1,4,9
MATH 60r,2845,8500,0,0,2,0,4
LING 97r,2775,1791,1,0,4,1,0
HEB 91r,2714,3631,0,0,0,1,0
ARABIC A,3738,5773,0,4,7,23,22
GERMAN A,2085,4294,0,1,9,6,18
SOCIOL 99,4648,6237,0,0,0,1,4
FRENCH 259,4408,3349,0,0,0,1,1
MANCHU A,905,8961,0,1,0,0,2
CELTIC 184,447,2150,0,0,0,2,2
APPHY 195,1149,1842,0,2,3,3,3
ASTRON 201a,276,4303,1,3,4,3,0
MCB 176,3559,3186,0,0,0,5,8
LATIN 112a,5006,7099,1,0,4,3,5
CHEM 163,500,3635,0,0,7,9,3
HEB 1463,2742,3359,0,0,1,2,9
E-PSCI 270r,716,8230,0,0,0,4,1
APMTH 106,1119,3871,0,2,2,0,1
PHYSICS 11a,4089,3131,14,18,18,8,2
GOV 2005,2249,1719,2,4,3,2,1
ENG-SCI 154,1339,6319,0,0,0,3,0
ECON 1011a,956,7230,5,6,17,28,25
ECON 2450a,1060,1339,0,0,0,5,2
CHNSE 120a,762,4283,0,0,1,9,11
CHNSE 142a,771,3900,0,0,4,2,3
COMPSCI 121,1230,669,1,3,10,12,7
GREEK Aa,4978,129,0,0,2,4,4
ENGLISH 90lv,1505,3200,0,1,0,4,9
SOCIOL 128,4653,5979,1,2,7,8,4
JAPAN 210a,854,9182,0,0,0,0,3
ASTRON 150,271,8993,0,0,0,1,6
ECON 2680,1075,6529,0,0,0,2,1
SPANSH 97,4493,2315,0,0,0,3,4
ENG-SCI 272,1392,5157,0,0,0,2,2
ANTHRO 1610,150,2622,0,0,0,2,9
ENG-SCI 275,1395,9815,0,2,2,4,1
ECON 1542,994,2613,0,1,1,3,4
HEB 1330,2723,4332,0,0,3,4,1
ENGLISH 131,1527,8005,0,0,2,2,2
ENG-SCI 190,1350,6973,0,0,5,5,2
LATIN 201,5013,7642,0,0,0,0,1
PHIL 147,4055,8887,0,0,3,6,1
FRSEMR 25z,1807,1691,0,1,2,1,0
FRSEMR 41p,1860,2004,0,1,2,1,3
COMPLIT 275,572,3105,0,0,0,0,9
STAT 131,4835,8291,0,0,1,0,0
AFRAMER 218,84,9951,0,0,0,2,4
GOV 1170,2214,2585,0,0,1,1,3
MCB 173,3558,3836,0,0,1,4,9
SOCIOL 25,4628,3609,1,2,5,17,19
LING 115,2790,1549,0,1,3,4,2
BIOSTAT 251,419,5280,0,0,2,0,0
CHNSLIT 245r,804,321,0,0,0,0,2
SOCIOL 179,4682,3962,0,1,6,33,21
FRSEMR 31j,1823,9760,1,2,0,2,0
GERMAN 61,2092,5179,0,0,1,7,5
ECON 1816,1005,2483,1,2,5,22,28
VES 104,5188,1066,0,0,0,1,9
BCMP 218,2945,2049,0,0,3,1,2
HIST 1629,2442,14917,0,0,0,2,8
ENGLISH Ctr,1477,7175,0,0,0,0,4
FRENCH Ax,4377,2763,0,1,3,5,1
GERMAN Bab,2087,8629,0,1,0,2,12
PHYSICS 15a,4091,1984,1,4,15,33,31
EXPOS 20,1749,5518,18,59,107,165,159
MATH 21a,2837,6760,9,27,54,47,17
AKKAD 120,3707,3724,0,0,0,0,4
YORUBA A,104,29,0,0,1,2,0
PSY 2480,4333,4335,1,1,1,2,2
MCB 129,3542,8956,1,1,6,6,6
MUSIC 218r,3681,774,0,0,1,2,3
ECON 2142,1037,4414,0,0,0,3,0
COMPSCI 165,1241,560,0,4,1,3,2
OEB 59,3933,5281,0,0,1,2,5
VES 166,5221,5873,0,0,0,0,4
GOV 2030,2254,551,0,1,1,3,2
IMUNOL 201,3214,8337,1,0,3,6,1
RELIGION 2001,5114,644,0,0,1,0,0
PHYSICS 143b,4105,253,0,1,3,2,1
ARABIC 130a,3741,4591,0,0,0,3,0
MOD-HEB 120a,3836,1711,0,0,0,2,9
MED-SCI 250ab,3303,6946,0,0,0,0,2
ECON 2390b,1049,2990,0,0,1,1,2
CHNSE 130a,765,6724,0,2,2,13,16
JAPAN 120a,846,8152,0,0,0,10,8
KOREAN Ba,873,8739,0,0,0,4,6
LATIN Aa,4994,4759,2,3,2,4,0
COMPLIT 299ar,583,2431,0,0,1,6,2
CHEM 160,498,3420,0,1,4,14,5
VES 153ar,5209,5211,0,0,0,0,4
SLAVIC 111,4544,1594,0,0,1,2,2
VES 150ar,5204,4692,0,0,2,4,1
LATIN H,5002,3814,0,0,0,3,2
FRSEMR 44g,1872,1032,0,5,0,1,0
MCB 111,3537,6444,0,0,5,0,4
ENG-SCI 51,1323,322,0,3,5,6,4
COMPSCI 153,1238,2842,0,0,0,1,6
TURKISH 125a,3892,2947,0,0,0,2,3
MUSIC 208r,3671,2232,0,0,0,1,3
MATH 101,2848,8066,0,2,5,10,9
FRSEMR 24e,1787,3573,0,0,3,1,2
FRENCH 70c,4390,6432,1,3,3,7,0
ANTHRO 1090,129,8716,0,0,1,3,3
ECON 1530,990,2269,6,13,24,3,3
MUSIC 207r,3669,2149,0,1,1,2,1
GOV 1540,2234,4925,3,4,9,18,34
HIST 1878a,2451,5471,0,0,1,0,3
GOV 2227,2276,8307,0,0,2,0,0
HAA 272w,2616,6119,0,0,0,0,2
PHYSICS 141,4103,1284,0,0,1,1,4
GREEK Ac,4981,8283,0,1,0,3,1
ENG-SCI 221,1361,8223,0,1,2,2,0
SPANSH 281r,4510,9785,0,0,1,0,2
OEB 10,3924,7967,3,6,17,16,11
ASTRON 301hf,285,5224,0,0,2,4,3
ENGLISH 350,5294,8208,0,0,2,1,1
HLTHPOL 3002,2311,3528,0,0,0,1,0
HLTHPOL 3040hf,2316,8870,0,1,2,2,1
AFRAMER 301,86,3120,0,0,0,3,2
CELLBIO 300,3016,5825,0,0,0,1,2
IMUNOL 300,3217,4739,0,1,0,2,0
OEB 399,4037,764,0,0,0,2,4
SOCIOL 303a,4719,5636,0,0,1,0,3
IMUNOL 301,3219,4971,0,0,1,3,0
CHNSE 120b,763,1702,0,0,0,9,10
MATH 1a,2832,8434,1,1,7,4,0
CHEM 20,479,876,1,12,18,13,5
CHEM 135,492,3406,0,4,2,8,10
ECON 1017,958,1197,2,8,24,33,24
KOREAN 130b,881,2662,0,0,0,1,9
MCB 105,3535,998,0,0,3,8,14
ENG-SCI 96,1326,8461,2,5,5,2,0
SLAVIC Dr,4532,1096,0,0,0,0,1
ECON 1818,1006,3029,0,0,3,9,5
GOV 1092,2209,6197,1,3,3,8,12
MEDVLSTD 117,3511,5468,0,0,0,2,4
PHYSICS 181,4112,6346,0,1,5,8,6
PHYSICS 125,4099,6990,0,0,2,6,13
SOCIOL 190,4686,21,0,0,0,17,46
CHEM 161,499,3575,0,4,5,10,3
MCB 199,3567,9072,4,3,7,8,6
CHEM 91r,484,4366,0,0,0,1,2
SOCIOL 237,4706,4320,1,0,1,2,3
MUSIC 222r,3687,4055,0,0,0,0,4
COMPSCI 228,1261,364,1,1,6,0,1
WOMGEN 98r,4904,8094,0,0,1,3,3
LATIN Ab,4996,2101,0,0,0,2,2
PHIL 156,4059,3410,0,0,5,5,10
PSY 2461r,4330,8042,0,0,0,1,2
ECON 1460,988,4540,0,0,3,1,0
HIST 1878b,2452,6470,0,0,1,3,5
PHYSICS 287br,4137,4555,0,0,0,2,2
JAPNHIST 120,859,4903,0,0,0,1,5
ARABIC 131b,3744,697,1,1,4,3,1
OEB 253r,3986,8104,0,0,3,2,1
MUSIC 209r,3673,4022,0,0,0,2,7
ENG-SCI 230,1367,5718,0,0,2,4,0
MATH 144,2870,690,0,0,2,0,5
AFRAMER 131,47,2589,0,0,0,0,8
ENG-SCI 103,1329,9277,0,0,4,3,2
BIOSTAT 231,410,8773,0,2,0,1,3
BIOSTAT 233,412,7804,1,1,2,2,1
VIETNAM Bb,922,9940,0,0,3,1,3
LING 251,2825,7038,0,0,0,0,4
ENGLISH Clr,1472,6121,0,0,0,2,4
HISTSCI 174,2667,1750,0,0,0,1,4
MUSIC 193r,3659,3741,0,0,1,2,4
NEUROBIO 221,3352,443,0,0,4,7,2
E-PSCI 231,699,6492,0,0,1,5,4
GREEK 201,4993,1968,0,0,1,0,0
MODGRK B,5018,8187,0,0,0,2,2
PHIL 98hf,4044,5533,0,0,1,1,6
SLAVIC A,4518,8014,0,0,1,4,4
STAT 104,4829,4582,0,2,5,31,21
ENG-SCI 123,1332,8323,0,0,3,7,12
ECON 1410,980,6136,0,0,0,8,10
OEB 55,3930,3365,4,5,6,4,1
OEB 51,3926,7873,0,0,0,1,9
HISTSCI 186,2672,2147,0,0,2,7,3
COMPSCI 143,1233,6401,0,1,0,2,1
MATH 123,2860,5613,0,1,2,6,15
APMTH 21b,1112,5074,0,9,8,7,5
E-PSCI 100,668,235,0,1,0,6,0
E-PSCI 109,670,2218,0,0,0,4,8
ANTHRO 2635,208,9515,0,1,4,4,1
CLAS-HEB 138,3785,4415,0,0,1,3,3
BIOPHYS 242r,331,6011,1,4,2,5,0
BCMP 201,2943,5068,0,2,6,3,1
ECON 2811,1085,5188,0,1,2,1,3
CHNSE 142b,772,1418,0,0,1,8,4
OEB 174r,3963,5199,0,0,1,2,5
ENG-SCI 6,1319,2969,0,0,5,13,7
ENG-SCI 151,1338,5742,0,0,1,1,3
TURKISH 125b,3893,125,0,0,0,0,4
ENGLISH Crr,1476,1893,0,1,0,0,8
FRSEMR 23k,1781,1904,0,0,0,0,9
FRSEMR 31o,1825,6293,0,0,2,2,1
CHEM 60,483,5181,0,1,1,0,1
ECON 2120,1035,2352,1,2,3,4,3
AFRAMER 111,39,22792,0,0,1,5,1
PHYSICS 15c,4093,8676,1,4,5,9,3
OEB 118,3945,7752,0,0,1,4,3
PSY 2420,4322,8446,0,0,0,3,2
E-PSCI 236,701,7250,0,0,1,2,4
STAT 221,4848,5959,0,0,0,2,1
PSY 2650,4342,7147,0,0,1,3,4
MICROBI 213,3313,7905,0,0,0,2,4
RELIGION 1400,5055,4486,0,1,1,1,0
HAA 101,2557,98483,0,0,3,1,2
NEUROBIO 207,3349,4977,2,3,5,4,2
YIDDISH A,3900,4623,1,0,0,2,2
YORUBA A,104,29,0,0,0,2,1
MCB 80,3532,6052,0,7,34,71,56
ECON 1430,984,5549,0,4,5,2,0
MATH 23b,2840,8571,4,11,21,14,5
CHEM 27,480,5978,17,26,55,70,11
MATH 129,2862,2345,0,2,2,5,1
PHIL 144,4054,1111,0,0,0,3,4
PHYSICS 15b,4092,2701,6,8,12,5,1
PHYSICS 15a,4091,1984,0,1,4,11,13
PORTUG Ad,4444,1315,0,0,1,10,15
JAPAN Bb,842,8728,0,0,1,3,21
PHYSCI 1,541,2225,16,40,52,50,6
ECON 1011b,957,6993,4,8,21,27,7
GOV 1295,2224,4241,0,3,7,18,43
ECON 1760,1002,77458,0,1,0,3,11
COMPSCI 286r,1281,1099,0,0,1,1,5
ENGLISH 98r,1520,3831,0,0,1,2,14
ENG-SCI 120,1331,1493,0,1,11,6,2
CHNSE 130b,766,2917,0,0,3,11,14
VES 153br,5210,3477,0,0,2,0,5
APMTH 107,1120,6411,2,1,4,8,4
APMTH 115,1122,1768,2,1,3,7,6
GOV 2006,2250,5487,0,0,4,1,0
ENG-SCI 173,1345,3490,0,0,1,3,1
PHYSICS 145,4106,6057,0,0,1,0,5
GOV 2080,2259,4345,0,0,0,1,3
ECON 2530b,1067,7144,0,0,1,6,1
APPHY 291,1158,1761,1,1,2,2,2
COMPSCI 152,1237,6841,0,1,0,2,5
OEB 121a,3947,4049,0,0,0,5,4
