,title,description,prerequisites,fall,spring,department_id,number,course_id,year,term,Enrollment,Evaluations,ResponseRate,CourseOverall,Materials,Assignments,Feedback,Section,Workload,Difficulty,WouldYouRecommend
10,The Body in Art: From Ideal to Real,"This course explores how artists have idealized, humanized, and celebrated the naked and nude human form over the centuries. Taking advantage of local museum collections, we will consider the tradition of the flawless classical god and goddess, how modern artists like Manet, Degas, Matisse and Picasso transgressed it, and, finally, how contemporary artists continue to radically transform the nude today. No experience with art history is necessary.",,N,Y,54,EXPOS 20.137,1681,2014,2,13.0,12.0,92.31,3.8,4.1,3.8,4.3,3.6,6.4,-1.0,3.5
11,The Body in Art: From Ideal to Real,"This course explores how artists have idealized, humanized, and celebrated the naked and nude human form over the centuries. Taking advantage of local museum collections, we will consider the tradition of the flawless classical god and goddess, how modern artists like Manet, Degas, Matisse and Picasso transgressed it, and, finally, how contemporary artists continue to radically transform the nude today. No experience with art history is necessary.",,N,Y,54,EXPOS 20.138,1682,2014,2,10.0,9.0,90.0,2.8,3.3,2.9,3.3,3.2,7.4,-1.0,2.3
12,Quantum and Statistical Foundations of Chemistry,"An introduction to the fundamental theories of quantum mechanics and statistical mechanics and their role in governing the behavior of matter. The course begins with the quantum behavior of a single electron and develops the elements of the periodic table, the nature of the chemical bond, and the bulk properties of materials. Applications include semiconductor electronics, solar energy conversion, medical imaging, and the stability and dynamism of living systems. Calculus will be used extensively.","Recommended: A strong background in chemistry (Chemistry AP score of 5, or Physical Sciences 1, or equivalent preparation), mathematics at the level of Mathematics 1b (may be taken concurrently), and some familiarity with physics (force, energy, work, and electric charge).",Y,N,23,PHYSCI 10,542,2015,1,27.0,21.0,77.78,4.5,4.4,4.2,4.0,4.0,7.0,-1.0,4.5
13,Quantum and Statistical Foundations of Chemistry,"An introduction to the fundamental theories of quantum mechanics and statistical mechanics and their role in governing the behavior of matter. The course begins with the quantum behavior of a single electron and develops the elements of the periodic table, the nature of the chemical bond, and the bulk properties of materials. Applications include semiconductor electronics, solar energy conversion, medical imaging, and the stability and dynamism of living systems. Calculus will be used extensively.","Recommended: A strong background in chemistry (Chemistry AP score of 5, or Physical Sciences 1, or equivalent preparation), mathematics at the level of Mathematics 1b (may be taken concurrently), and some familiarity with physics (force, energy, work, and electric charge).",Y,N,23,PHYSCI 10,542,2015,1,27.0,21.0,77.78,4.5,4.4,4.2,4.0,4.0,7.0,-1.0,4.5
14,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective,"The Physical Sciences hold the key to solving unprecedented problems at the intersection of science, technology, and an array of rapidly emerging global scale challenges. The course emphasizes a molecular scale understanding of energy and entropy; free energy in equilibria, acid/base reactivity, and electrochemistry; molecular bonding and kinetics; catalysis in organic and inorganic systems; the union of quantum mechanics, nanostructures, and photovoltaics; and the analysis of nuclear energy. Case studies are used both to develop quantitative reasoning and to directly link these principles to global strategies.",Recommended: A strong background in chemistry. Students are expected to have had Honors or AP-level high school chemistry preparation or a placement score of 650 or better on the Harvard Chemistry Placement exam. A few operations of calculus are developed and used. Fluency in pre-calculus secondary school mathematics is assumed.,N,Y,23,PHYSCI 11,543,2015,2,127.0,103.0,81.1,3.9,4.0,4.1,4.1,4.2,6.5,-1.0,4.0
15,Foundations and Frontiers of Modern Chemistry: A Molecular and Global Perspective,"The Physical Sciences hold the key to solving unprecedented problems at the intersection of science, technology, and an array of rapidly emerging global scale challenges. The course emphasizes a molecular scale understanding of energy and entropy; free energy in equilibria, acid/base reactivity, and electrochemistry; molecular bonding and kinetics; catalysis in organic and inorganic systems; the union of quantum mechanics, nanostructures, and photovoltaics; and the analysis of nuclear energy. Case studies are used both to develop quantitative reasoning and to directly link these principles to global strategies.",Recommended: A strong background in chemistry. Students are expected to have had Honors or AP-level high school chemistry preparation or a placement score of 650 or better on the Harvard Chemistry Placement exam. A few operations of calculus are developed and used. Fluency in pre-calculus secondary school mathematics is assumed.,N,Y,23,PHYSCI 11,543,2014,2,76.0,66.0,86.84,4.2,4.2,4.3,4.5,4.4,5.9,-1.0,4.2
16,"Design Anthropology: Objects, Landscapes, Cities","This course will examine the intersections between design and anthropology. In recent years, there has been a movement in anthropology toward a focus on objects, while design, which has traditionally been concerned with objects, has been moving toward the understanding of objects as part of a greater milieu. This course explores the common ethnographic ground. No background in anthropology or design required.",,N,Y,6,ANTHRO 2695,218,2014,2,5.0,4.0,80.0,4.0,2.8,3.5,3.0,4.0,6.0,-1.0,3.8
17,Hindi-Urdu Supervised Readings,Instruction in Hindi-Urdu in topics not covered in the regular curriculum.,,Y,Y,495,HIND-URD 91R,4810,2015,2,1.0,1.0,100.0,,4.0,,,,2.0,-1.0,4.0
18,Hindi-Urdu Supervised Readings,Instruction in Hindi-Urdu in topics not covered in the regular curriculum.,,Y,Y,495,HIND-URD 91R,4810,2015,1,1.0,1.0,100.0,5.0,3.0,3.0,5.0,,,-1.0,5.0
19,Hindi-Urdu Supervised Readings,Instruction in Hindi-Urdu in topics not covered in the regular curriculum.,,Y,Y,495,HIND-URD 91R,4810,2014,2,1.0,1.0,100.0,5.0,5.0,5.0,5.0,,4.0,-1.0,5.0
20,South Asian Language Tutorials,"Individualized study of a South Asian language; emphasis on written expression, reading comprehension and oral fluency. Languages currently offered are Bahasa Indonesia, Bengali, and Burmese though others may be approved upon petition to the Director of Undergraduate Studies/Director of Graduate Studies.",,Y,Y,141,SAS 100R,4768,2015,2,15.0,10.0,66.67,4.7,4.5,4.9,4.9,5.0,3.1,-1.0,4.8
21,South Asian Language Tutorials,"Individualized study of a South Asian language; emphasis on written expression, reading comprehension and oral fluency. Languages currently offered are Bahasa Indonesia, Bengali, and Burmese though others may be approved upon petition to the Director of Undergraduate Studies/Director of Graduate Studies.",,Y,Y,141,SAS 100R,4768,2015,1,17.0,9.0,52.94,4.6,4.1,4.6,4.8,5.0,3.6,-1.0,4.6
22,South Asian Language Tutorials,"Individualized study of a South Asian language; emphasis on written expression, reading comprehension and oral fluency. Languages currently offered are Bahasa Indonesia, Bengali, and Burmese though others may be approved upon petition to the Director of Undergraduate Studies/Director of Graduate Studies.",,Y,Y,141,SAS 100R,4768,2014,2,5.0,5.0,100.0,4.6,3.8,3.8,4.6,5.0,3.6,-1.0,4.8
23,Tutorial - Junior Year,,,Y,Y,141,SAS 98R,4766,2015,2,1.0,1.0,100.0,5.0,,5.0,5.0,,8.0,-1.0,5.0
24,Tutorial - Senior Year,Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.,,Y,N,141,SAS 99RA,4767,2015,1,1.0,1.0,100.0,4.0,,,5.0,,5.0,-1.0,4.0
25,Tutorial - Senior Year,Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.,,Y,N,141,SAS 99RA,4767,2015,1,1.0,1.0,100.0,4.0,,,5.0,,5.0,-1.0,4.0
26,Sense and Scientific Sensibility,"Scientific inquiry is often considered an endeavor pursued using one's sense of vision: scientists peer into microscopes and telescopes, and stare at graphs, diagrams, and computer screens. But on what other senses do scientists rely? How do they gather data using senses of hearing, smell, taste, and touch (or, for that matter, less acknowledged perceptual systems, among them, balance, temperature, movement, pain, and time)? How do researchers evaluate sensory evidence? Further, what is the history of scientific studies of the senses? To address such questions, each week we will explore a different sense (from the canonical five to synaesthesia and ESP) by combining readings in the history of science with classic primary sources. Throughout, we will examine critical questions regarding how the senses are culturally and historically constructed, evaluated, and technologically mediated.",,N,Y,76,HISTSCI 164,2664,2014,2,7.0,4.0,57.14,5.0,5.0,5.0,5.0,5.0,7.3,-1.0,5.0
27,Physics and Chemistry: In the Context of Energy and Climate at the Global and Molecular Level,"A solution to the problems set by the intersection of global energy demand and climate feedbacks requires the teaching of physics and chemistry in that context. Core topics include thermodynamics, free energy, entropy, acid-base and oxidation-reduction reactions, electrochemistry, electromagnetic induction, circuit theory, AC and DC circuits, the nature of photons and of electromagnetic radiation, photochemistry, materials, catalysis, kinetics, molecular bonding, and biological processes for energy conversion and storage.","Recommended: Physical Sciences 1, or Physical Sciences 11, or permission of instructor.",Y,N,51,ENG-SCI 135,1335,2015,1,11.0,10.0,90.91,4.1,4.3,3.4,4.0,4.3,5.5,-1.0,4.1
28,Physics and Chemistry: In the Context of Energy and Climate at the Global and Molecular Level,"A solution to the problems set by the intersection of global energy demand and climate feedbacks requires the teaching of physics and chemistry in that context. Core topics include thermodynamics, free energy, entropy, acid-base and oxidation-reduction reactions, electrochemistry, electromagnetic induction, circuit theory, AC and DC circuits, the nature of photons and of electromagnetic radiation, photochemistry, materials, catalysis, kinetics, molecular bonding, and biological processes for energy conversion and storage.","Recommended: Physical Sciences 1, or Physical Sciences 11, or permission of instructor.",Y,N,51,ENG-SCI 135,1335,2015,1,11.0,10.0,90.91,4.1,4.3,3.4,4.0,4.3,5.5,-1.0,4.1
29,Teaching 100: The Theory and Science of Teaching,"For many graduate students, teaching will be part of their career, whether as mentoring, formal classroom teaching, or outreach. In addition, the theory and research evidence accumulating in the disciplines of cognitive psychology, neuroscience, and from STEM classrooms, has turned the question of, &#39;How do we best teach science?&#39; into its own scientific discipline. The Theory and Science of Teaching focuses on understanding why certain teaching methods are effective by examining the scientific research and theoretical frameworks that support these methods. We will read and discuss foundational educational and cognitive psychology texts and primary literature, and then develop an annotated lesson plans that allows us to put these ideas into practice.",,Y,N,84,CELLBIO 306QC,3022,2015,1,3.0,2.0,66.67,5.0,5.0,4.5,3.0,,1.5,-1.0,5.0
30,Teaching 100: The Theory and Science of Teaching,"For many graduate students, teaching will be part of their career, whether as mentoring, formal classroom teaching, or outreach. In addition, the theory and research evidence accumulating in the disciplines of cognitive psychology, neuroscience, and from STEM classrooms, has turned the question of, &#39;How do we best teach science?&#39; into its own scientific discipline. The Theory and Science of Teaching focuses on understanding why certain teaching methods are effective by examining the scientific research and theoretical frameworks that support these methods. We will read and discuss foundational educational and cognitive psychology texts and primary literature, and then develop an annotated lesson plans that allows us to put these ideas into practice.",,Y,N,84,CELLBIO 306QC,3022,2015,1,3.0,2.0,66.67,5.0,5.0,4.5,3.0,,1.5,-1.0,5.0
31,Behavioral Finance,"Theory and evidence on mispricing in financial markets due to investor psychology or institutional constraints. Broad themes are the practical limits of arbitrage, models of psychological behavior, and predictability of security returns. Specific topics may include market bubbles and crashes, closed end funds, value vs. growth, momentum, the money management industry, and short sale constraints.",Recommended: Econ 1723,N,Y,45,ECON 1760,1002,2015,2,73.0,54.0,73.97,4.4,4.4,4.2,3.9,3.9,3.8,-1.0,4.4
32,Behavioral Finance,"Theory and evidence on mispricing in financial markets due to investor psychology or institutional constraints. Broad themes are the practical limits of arbitrage, models of psychological behavior, and predictability of security returns. Specific topics may include market bubbles and crashes, closed end funds, value vs. growth, momentum, the money management industry, and short sale constraints.",Recommended: Econ 1723,N,Y,45,ECON 1760,1002,2014,2,29.0,25.0,86.21,4.4,4.2,3.9,3.5,3.9,3.8,-1.0,4.4
33,Religion and Political Economy,"Recent research on religion has stressed social-science approaches. Parts of the work assess effects of economic and other forces on religious participation and beliefs. This topic includes models of secularization and of competition among alternative forms of religion, including analyses of the Reformation. Religious conversion and the club model of religious participation will be considered. Other aspects of the research analyze effects of religiosity on microeconomic variables, including work effort, thrift, education, health, and violence. Parts consider the impact of religion on macroeconomic outcomes, including economic growth. Additional work considers the interplay between religion and political institutions, including the role of state religion and interactions with Communism and democracy.","Recommended: Intermediate Macroeconomics and Microeconomics: Economics 1010a1, 1010a2, or 1011a and Economics 1010b or 1011b.",N,Y,45,ECON 1450R,987,2014,2,11.0,10.0,90.91,3.9,4.0,4.4,4.0,4.5,5.0,-1.0,4.1
34,"Fundaments of Improvisation & Composition, Dance","A dance course that explores fundamental skills of improvisation and composition. Using wide-ranging musical styles, experimentation, problem solving, and an equal curiosity about both success and failure &mdash; this course explores the processes of analytical and intuitive decision making in the dancing body.&nbsp; Students will learn a series of specific physical tasks, tools, and systems taught through intensive exercises, guided improvisations and rigorous real-time composition. Physical research and written work in the course connect dance to architecture, the visual arts, mathematics, philosophy, science, theater, and literature in ways which link the mind and body to innovation.",,Y,N,99,MUSIC 105R,3627,2015,1,9.0,7.0,77.78,5.0,4.5,4.0,4.2,,2.0,-1.0,5.0
35,"Fundaments of Improvisation & Composition, Dance","A dance course that explores fundamental skills of improvisation and composition. Using wide-ranging musical styles, experimentation, problem solving, and an equal curiosity about both success and failure &mdash; this course explores the processes of analytical and intuitive decision making in the dancing body.&nbsp; Students will learn a series of specific physical tasks, tools, and systems taught through intensive exercises, guided improvisations and rigorous real-time composition. Physical research and written work in the course connect dance to architecture, the visual arts, mathematics, philosophy, science, theater, and literature in ways which link the mind and body to innovation.",,Y,N,99,MUSIC 105R,3627,2015,1,9.0,7.0,77.78,5.0,4.5,4.0,4.2,,2.0,-1.0,5.0
36,Animal Cognition,"This course is an introduction to the study of animal cognition and thought processes. Topics include categorization, memory, number concepts, insight, and language-like behavior. The course requires reading and critiquing original journal articles.","Recommended: The Psychology Department requires completion of Science of Living Systems 20 (or equivalent) and at least one foundational course from PSY 14, PSY 15, PSY 16, PSY 18,MCB 80, or Science of Living Systems 15 before enrolling in this course.",Y,N,124,PSY 980F,4237,2015,1,4.0,4.0,100.0,4.5,4.0,3.5,3.5,,8.0,-1.0,4.2
37,Animal Cognition,"This course is an introduction to the study of animal cognition and thought processes. Topics include categorization, memory, number concepts, insight, and language-like behavior. The course requires reading and critiquing original journal articles.","Recommended: The Psychology Department requires completion of Science of Living Systems 20 (or equivalent) and at least one foundational course from PSY 14, PSY 15, PSY 16, PSY 18,MCB 80, or Science of Living Systems 15 before enrolling in this course.",Y,N,124,PSY 980F,4237,2015,1,4.0,4.0,100.0,4.5,4.0,3.5,3.5,,8.0,-1.0,4.2
38,Masterwork: The Choreographic Process of William Forsythe,"A comprehensive study of a William Forsythe work with one of his closest collaborators. Students will watch rare rehearsal and performance footage, and examine all aspects of the choreographic process from the first movement sketches to compositional modalities, lighting, music, and dramaturgical design. A unique, rigorous and interdisciplinary course of study which will include a collaborative process to create an original dance work for performance, and expose students to all aspects of a master work by a preeminent American dance innovator.",Previous dance experience required.,N,Y,99,MUSIC 103R,3626,2014,2,4.0,2.0,50.0,4.5,4.5,5.0,5.0,5.0,2.0,-1.0,4.5
39,Molecular Aspects of Chromatin Dynamics,"This course will discuss the role of chromatin dynamics in modulating molecular and cellular processes. The genetic information encoded in our DNA is organized in a defined set of chromosomes, which are condensed about 10.000 fold in order to fit in the cell nucleus. This compaction occurs through packaging of the DNA around histone proteins, a structure known as chromatin. In what was thought to be a rigid structure, today we know that chromatin is an amazingly dynamic folding that plays a crucial role in controlling accessibility of factors to the DNA, and as such, it regulates a vast number of critical biological functions, including gene transcription, DNA replication, DNA repair and cellular identity. In this course we will attempt to cover some of the basic molecular mechanisms that play a role in regulating chromatin dynamics, and in turn how chromatin itself modulate biological processes, including basic mechanisms of inheritance. We will specifically discuss the role of DNA methylation, histone modifications, nucleosome dynamics and novel epigenetic modulators in the context of different biological processes for which chromatin accessibility appears to play a crucial role.",,N,Y,84,CELLBIO 307QC,3024,2015,2,25.0,12.0,48.0,4.6,4.5,4.4,4.5,4.5,3.3,-1.0,4.7
40,Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems,"This course will provide a framework (and multiple lenses) through which to think about the salient economic and social problems of the five billion people of the developing world, and to work in a team setting toward identifying entrepreneurial solutions to such problems. Case study discussions will cover challenges and solutions in fields as diverse as health, education, technology, urban planning, and arts and the humanities. The modules themselves will be team-taught by faculty from engineering, the arts, urban design, healthcare and business. The course will embrace a bias toward action by enabling students to understand the potential of individual agency in addressing these problems. All students will participate in the development of a business plan or grant proposal to tackle their chosen problem in a specific developing country/region, emphasizing the importance of contextualizing the entrepreneurial intervention. The student-team will ideally be comprised of students with diverse backgrounds from across the University.",,Y,N,63,SOCWORLD 47,2060,2015,1,77.0,55.0,71.43,3.5,4.0,3.2,3.1,3.6,4.5,-1.0,3.5
41,Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems,"This course will provide a framework (and multiple lenses) through which to think about the salient economic and social problems of the five billion people of the developing world, and to work in a team setting toward identifying entrepreneurial solutions to such problems. Case study discussions will cover challenges and solutions in fields as diverse as health, education, technology, urban planning, and arts and the humanities. The modules themselves will be team-taught by faculty from engineering, the arts, urban design, healthcare and business. The course will embrace a bias toward action by enabling students to understand the potential of individual agency in addressing these problems. All students will participate in the development of a business plan or grant proposal to tackle their chosen problem in a specific developing country/region, emphasizing the importance of contextualizing the entrepreneurial intervention. The student-team will ideally be comprised of students with diverse backgrounds from across the University.",,Y,N,63,SOCWORLD 47,2060,2015,1,77.0,55.0,71.43,3.5,4.0,3.2,3.1,3.6,4.5,-1.0,3.5
42,Advanced Optimization,"This is a graduate level course on optimization which provides a foundation for applications such as statistical machine learning, signal processing, finance, and approximation algorithms. The course will cover fundamental concepts in optimization theory, modeling, and algorithmic techniques for solving large-scale optimization problems. Topics include elements of convex analysis, linear programming, Lagrangian duality, optimality conditions, and discrete and combinatorial optimization. Exercises and the class project will involve developing and implementing optimization algorithms.",Recommended: Applied Mathematics 21b or Mathematics 21b (linear algebra) and Applied Mathematics 121 or equivalent or permission of instructor. Comfort with programming.,N,Y,47,APMTH 221,1132,2015,2,21.0,14.0,66.67,4.4,4.2,4.4,4.2,4.5,14.3,-1.0,4.5
43,Psychology of Close Relationships,"This course is an in-depth exploration of close relationships. Examples of topics to be covered include the biological bases of attraction; relationship formation; the end of relationships through break-up, divorce, or death; relationship satisfaction; deception; gender roles; same-sex relationships; loneliness; relationships and well-being; and public perceptions about relationships. You will have an opportunity to explore these topics primarily through critical examination of the empirical literature as well as through popular press.","Recommended: The Psychology Department requires completion of Science of Living Systems 20 (or equivalent) and at least one foundational course from PSY 14, PSY 15, PSY 16, PSY 18, or Science of Living Systems 15 before enrolling in this course.",N,Y,124,PSY 1503,4266,2015,2,86.0,69.0,80.23,4.3,4.3,4.5,4.2,4.0,2.7,-1.0,4.4
44,Psychology of Close Relationships,"This course is an in-depth exploration of close relationships. Examples of topics to be covered include the biological bases of attraction; relationship formation; the end of relationships through break-up, divorce, or death; relationship satisfaction; deception; gender roles; same-sex relationships; loneliness; relationships and well-being; and public perceptions about relationships. You will have an opportunity to explore these topics primarily through critical examination of the empirical literature as well as through popular press.","Recommended: The Psychology Department requires completion of Science of Living Systems 20 (or equivalent) and at least one foundational course from PSY 14, PSY 15, PSY 16, PSY 18, or Science of Living Systems 15 before enrolling in this course.",N,Y,124,PSY 1503,4266,2014,2,78.0,72.0,92.31,4.1,4.2,4.4,3.6,3.5,2.2,-1.0,4.4
45,Analytic Frameworks for Policy,"This course develops abilities in using analytic frameworks in the formulation and assessment of public policies. It considers a variety of analytic techniques, particularly those directed toward uncertainty and interactive decision problems. It emphasizes the application of techniques to policy analysis, not formal derivations. Students encounter case studies, methodological readings, modeling of current events, the computer, a final exam, and challenging problem sets.",Recommended: Economics 1011a or permission of instructor.,Y,N,45,ECON 1415,981,2015,1,6.0,4.0,66.67,4.0,4.2,4.2,3.5,4.0,7.0,-1.0,4.2
46,Analytic Frameworks for Policy,"This course develops abilities in using analytic frameworks in the formulation and assessment of public policies. It considers a variety of analytic techniques, particularly those directed toward uncertainty and interactive decision problems. It emphasizes the application of techniques to policy analysis, not formal derivations. Students encounter case studies, methodological readings, modeling of current events, the computer, a final exam, and challenging problem sets.",Recommended: Economics 1011a or permission of instructor.,Y,N,45,ECON 1415,981,2015,1,6.0,4.0,66.67,4.0,4.2,4.2,3.5,4.0,7.0,-1.0,4.2
