number,course_id,cat_num,1s,2s,3s,4s,5s
BIOSTAT 230,409,6183,0,2,3,0,1
ECON 2010c,1013,4431,0,1,7,5,0
LING 130,2795,76462,6,1,1,0,0
FRSEMR 25p,1801,1838,9,1,0,0,0
STAT 135,4836,3451,3,4,6,0,0
ENG-SCI 207,1355,5993,2,4,1,0,0
ANE 100,3715,702,0,2,2,0,0
ECON 1393,979,6516,5,6,3,0,0
GOV 1780,2240,272,5,13,2,0,0
ENG-SCI 222,1362,696,0,0,0,3,5
EASTD 140,837,856,1,8,3,0,0
FRSEMR 26j,1810,7529,8,1,0,0,0
SOCIOL 165,4673,8272,9,9,1,0,0
ESPP 90a,1568,2189,4,8,1,0,0
KOREAN Bxa,875,120,0,2,1,0,0
ENGLISH Crr,1476,1893,1,6,3,0,0
NEC 98r,3858,2612,0,0,0,0,0
GOV 99r,2194,3652,10,9,11,1,0
SEMPHIL 140,3873,8602,1,0,0,0,0
HAA 70,2550,4593,7,26,3,0,0
GOV 1730,2235,6806,7,18,13,5,0
PHYSICS 283b,4132,7153,6,3,2,0,0
MATH 141,2868,600,2,0,2,0,0
LING 171,2803,4346,0,0,0,0,0
PSY 2010,4300,6515,1,3,3,0,1
TURKISH 120a,3889,4009,0,1,3,0,1
NEUROBIO 200,3347,6062,1,3,1,2,2
MATH 212a,2876,5446,1,1,4,2,1
GOV 20,2150,6166,16,35,28,0,1
ECON 2020a,1015,339,0,0,4,5,0
ECON 2010a,1011,8656,0,3,6,4,8
JAPAN Ba,841,2014,5,18,8,3,0
GENETIC 201,3098,4225,5,11,6,3,2
ANTHRO 2650a,212,1752,0,0,0,2,1
PHYSICS 210,4115,4840,0,0,4,3,1
ECON 2040,1018,8485,0,3,0,0,0
KOREAN 150a,884,1936,0,0,1,0,0
GOV 2285,2277,1566,0,0,2,0,3
HIST 1877a,2449,1770,4,7,1,1,0
MATH 131,2864,2381,1,10,13,8,5
MATH 153,2872,3004,1,11,4,0,0
VES 71,5176,1971,3,15,1,1,0
BIOSTAT 232,411,131,1,3,2,0,0
FRSEMR 25g,1795,8075,7,1,0,0,0
OEB 107,3940,1318,1,4,0,3,0
PSY 1801,4285,4906,0,2,2,0,0
MUSIC 2,3613,645,13,20,5,1,0
VES 96r,5184,7299,1,6,0,0,0
HAA 271x,2613,1598,0,1,1,1,0
PSY 1352,4257,9399,0,2,0,1,0
PHYSICS 175,4111,9076,0,3,6,0,0
COMPLIT 263,566,3125,1,2,2,2,0
FRSEMR 25n,1799,9589,6,3,0,0,0
LING 83,2773,8319,3,3,2,0,0
ECON 1018,959,1775,9,9,8,0,0
ENGLISH Clr,1472,6121,0,5,2,0,1
PHYSICS 123,4098,864,0,2,9,4,3
MATH 60r,2845,8500,0,1,2,1,0
LING 97r,2775,1791,2,3,0,0,0
HEB 91r,2714,3631,0,0,1,0,0
ARABIC A,3738,5773,4,15,23,7,7
GERMAN A,2085,4294,1,17,13,3,0
SOCIOL 99,4648,6237,1,0,2,1,0
FRENCH 259,4408,3349,0,0,0,1,1
MANCHU A,905,8961,0,2,1,0,0
CELTIC 184,447,2150,0,2,1,1,0
APPHY 195,1149,1842,0,3,5,3,0
ASTRON 201a,276,4303,4,6,1,0,0
MCB 176,3559,3186,7,3,2,1,0
LATIN 112a,5006,7099,0,0,4,6,1
CHEM 163,500,3635,0,4,9,3,3
HEB 1463,2742,3359,0,9,2,1,0
E-PSCI 270r,716,8230,1,1,2,0,0
APMTH 106,1119,3871,0,3,2,0,0
PHYSICS 11a,4089,3131,12,27,18,1,0
GOV 2005,2249,1719,2,7,2,0,0
ENG-SCI 154,1339,6319,0,2,1,0,0
ECON 1011a,956,7230,6,30,34,7,3
ECON 2450a,1060,1339,0,4,2,0,0
CHNSE 120a,762,4283,1,6,9,2,1
CHNSE 142a,771,3900,2,3,2,1,0
COMPSCI 121,1230,669,0,11,11,8,3
GREEK Aa,4978,129,0,2,6,2,0
ENGLISH 90lv,1505,3200,4,7,3,0,0
SOCIOL 128,4653,5979,6,10,4,0,0
JAPAN 210a,854,9182,0,2,0,1,0
ASTRON 150,271,8993,1,4,1,0,0
ECON 2680,1075,6529,1,1,1,0,0
SPANSH 97,4493,2315,0,2,3,1,1
ENG-SCI 272,1392,5157,0,0,1,2,1
ANTHRO 1610,150,2622,0,6,3,1,0
ENG-SCI 275,1395,9815,0,3,3,1,2
ECON 1542,994,2613,1,6,2,0,0
HEB 1330,2723,4332,5,2,0,0,0
ENGLISH 131,1527,8005,1,3,2,0,0
ENG-SCI 190,1350,6973,0,8,4,0,0
LATIN 201,5013,7642,0,0,0,1,0
PHIL 147,4055,8887,3,4,2,0,0
FRSEMR 25z,1807,1691,4,0,0,0,0
FRSEMR 41p,1860,2004,4,3,0,0,0
COMPLIT 275,572,3105,0,4,5,0,0
STAT 131,4835,8291,0,0,1,0,0
AFRAMER 218,84,9951,0,0,4,1,1
GOV 1170,2214,2585,2,1,2,0,0
MCB 173,3558,3836,9,4,2,0,0
SOCIOL 25,4628,3609,12,21,9,0,0
LING 115,2790,1549,1,5,3,1,0
BIOSTAT 251,419,5280,0,0,0,1,1
CHNSLIT 245r,804,321,0,1,0,0,1
SOCIOL 179,4682,3962,19,34,7,0,0
FRSEMR 31j,1823,9760,3,2,0,0,0
GERMAN 61,2092,5179,2,9,2,0,0
ECON 1816,1005,2483,7,27,18,5,0
VES 104,5188,1066,1,6,3,0,0
BCMP 218,2945,2049,3,2,1,0,0
HIST 1629,2442,14917,0,5,4,1,0
ENGLISH Ctr,1477,7175,0,2,1,1,0
FRENCH Ax,4377,2763,0,6,3,1,0
GERMAN Bab,2087,8629,1,2,6,5,1
PHYSICS 15a,4091,1984,0,20,40,21,3
EXPOS 20,1749,5518,36,263,172,24,7
MATH 21a,2837,6760,5,64,59,19,5
AKKAD 120,3707,3724,0,0,2,1,1
YORUBA A,104,29,2,1,0,0,0
PSY 2480,4333,4335,4,3,0,0,0
MCB 129,3542,8956,5,11,4,0,0
MUSIC 218r,3681,774,0,2,3,1,0
ECON 2142,1037,4414,0,0,1,1,0
COMPSCI 165,1241,560,1,6,2,1,0
OEB 59,3933,5281,5,3,0,0,0
VES 166,5221,5873,0,3,1,0,0
GOV 2030,2254,551,1,3,1,1,0
IMUNOL 201,3214,8337,0,6,5,0,0
RELIGION 2001,5114,644,0,1,0,0,0
PHYSICS 143b,4105,253,0,1,4,2,0
ARABIC 130a,3741,4591,0,3,0,0,0
MOD-HEB 120a,3836,1711,0,6,3,1,0
MED-SCI 250ab,3303,6946,0,0,2,0,0
ECON 2390b,1049,2990,0,0,1,3,0
CHNSE 130a,765,6724,2,12,12,6,1
JAPAN 120a,846,8152,0,4,10,3,1
KOREAN Ba,873,8739,2,6,1,0,1
LATIN Aa,4994,4759,1,3,3,1,1
COMPLIT 299ar,583,2431,0,4,3,1,1
CHEM 160,498,3420,2,6,12,1,3
VES 153ar,5209,5211,0,0,1,1,2
SLAVIC 111,4544,1594,2,2,1,0,0
VES 150ar,5204,4692,0,1,3,1,2
LATIN H,5002,3814,0,5,0,0,0
FRSEMR 44g,1872,1032,5,1,0,0,0
MCB 111,3537,6444,0,2,5,2,0
ENG-SCI 51,1323,322,3,13,0,2,0
COMPSCI 153,1238,2842,0,0,2,3,2
TURKISH 125a,3892,2947,0,5,0,0,0
MUSIC 208r,3671,2232,0,2,1,1,0
MATH 101,2848,8066,0,9,7,7,3
FRSEMR 24e,1787,3573,2,4,0,0,0
FRENCH 70c,4390,6432,8,5,1,0,0
ANTHRO 1090,129,8716,1,4,2,0,0
ECON 1530,990,2269,15,30,2,2,0
MUSIC 207r,3669,2149,0,0,1,2,2
GOV 1540,2234,4925,18,36,10,2,0
HIST 1878a,2451,5471,1,3,0,0,0
GOV 2227,2276,8307,0,1,0,0,1
HAA 272w,2616,6119,0,1,0,1,0
PHYSICS 141,4103,1284,2,3,1,0,0
GREEK Ac,4981,8283,0,1,2,1,1
ENG-SCI 221,1361,8223,0,0,4,1,0
SPANSH 281r,4510,9785,0,0,0,2,0
OEB 10,3924,7967,36,14,2,2,0
ASTRON 301hf,285,5224,8,0,0,0,0
ENGLISH 350,5294,8208,4,0,0,0,0
HLTHPOL 3002,2311,3528,0,1,0,0,0
HLTHPOL 3040hf,2316,8870,5,0,0,0,0
AFRAMER 301,86,3120,0,2,1,1,1
CELLBIO 300,3016,5825,1,1,1,0,0
IMUNOL 300,3217,4739,2,1,0,0,0
OEB 399,4037,764,6,0,0,0,0
SOCIOL 303a,4719,5636,3,1,0,0,0
IMUNOL 301,3219,4971,0,3,1,0,0
CHNSE 120b,763,1702,2,6,7,3,1
MATH 1a,2832,8434,2,7,1,2,0
CHEM 20,479,876,0,8,15,15,9
CHEM 135,492,3406,11,9,3,0,1
ECON 1017,958,1197,78,9,0,0,0
KOREAN 130b,881,2662,0,5,4,1,0
MCB 105,3535,998,14,10,0,1,0
ENG-SCI 96,1326,8461,0,4,3,2,3
SLAVIC Dr,4532,1096,0,1,0,0,0
ECON 1818,1006,3029,14,3,0,0,0
GOV 1092,2209,6197,16,9,1,0,0
MEDVLSTD 117,3511,5468,0,2,3,0,0
PHYSICS 181,4112,6346,1,2,11,4,2
PHYSICS 125,4099,6990,1,10,9,1,0
SOCIOL 190,4686,21,15,37,10,0,0
CHEM 161,499,3575,0,3,11,7,1
MCB 199,3567,9072,1,5,17,1,4
CHEM 91r,484,4366,0,0,1,0,1
SOCIOL 237,4706,4320,0,1,4,1,1
MUSIC 222r,3687,4055,0,1,2,0,0
COMPSCI 228,1261,364,0,1,3,2,3
WOMGEN 98r,4904,8094,0,1,2,3,1
LATIN Ab,4996,2101,0,3,1,0,0
PHIL 156,4059,3410,4,10,5,1,0
PSY 2461r,4330,8042,0,1,0,0,0
ECON 1460,988,4540,0,3,1,0,0
HIST 1878b,2452,6470,1,5,2,0,1
PHYSICS 287br,4137,4555,0,0,3,1,0
JAPNHIST 120,859,4903,0,3,3,0,0
ARABIC 131b,3744,697,0,1,2,3,4
OEB 253r,3986,8104,4,2,0,0,0
MUSIC 209r,3673,4022,0,2,3,3,1
ENG-SCI 230,1367,5718,0,2,3,1,0
MATH 144,2870,690,2,4,1,0,0
AFRAMER 131,47,2589,2,3,2,1,0
ENG-SCI 103,1329,9277,1,6,2,0,0
BIOSTAT 231,410,8773,0,2,2,1,1
BIOSTAT 233,412,7804,0,2,2,2,1
VIETNAM Bb,922,9940,1,3,1,0,1
LING 251,2825,7038,0,4,0,0,0
ENGLISH Clr,1472,6121,0,2,3,1,0
HISTSCI 174,2667,1750,0,6,0,0,0
MUSIC 193r,3659,3741,1,5,1,0,0
NEUROBIO 221,3352,443,1,9,2,1,0
E-PSCI 231,699,6492,1,2,5,0,2
GREEK 201,4993,1968,0,0,0,1,0
MODGRK B,5018,8187,1,3,0,0,0
PHIL 98hf,4044,5533,3,4,1,0,0
SLAVIC A,4518,8014,1,5,3,0,0
STAT 104,4829,4582,13,31,12,2,0
ENG-SCI 123,1332,8323,0,0,13,3,5
ECON 1410,980,6136,5,13,0,0,0
OEB 55,3930,3365,9,7,3,0,0
OEB 51,3926,7873,4,5,1,0,0
HISTSCI 186,2672,2147,1,6,2,1,0
COMPSCI 143,1233,6401,1,1,2,0,0
MATH 123,2860,5613,0,1,11,5,7
APMTH 21b,1112,5074,4,17,7,0,0
E-PSCI 100,668,235,0,1,2,3,1
E-PSCI 109,670,2218,4,8,1,0,0
ANTHRO 2635,208,9515,0,5,2,2,0
CLAS-HEB 138,3785,4415,1,2,3,0,0
BIOPHYS 242r,331,6011,2,6,3,0,1
BCMP 201,2943,5068,0,6,4,0,1
ECON 2811,1085,5188,3,0,2,0,2
CHNSE 142b,772,1418,0,7,4,2,0
OEB 174r,3963,5199,1,5,2,0,0
ENG-SCI 6,1319,2969,5,13,5,2,0
ENG-SCI 151,1338,5742,0,2,0,1,2
TURKISH 125b,3893,125,0,3,1,0,0
ENGLISH Crr,1476,1893,0,4,4,1,0
FRSEMR 23k,1781,1904,1,6,1,0,0
FRSEMR 31o,1825,6293,2,3,0,0,0
CHEM 60,483,5181,2,1,0,0,0
ECON 2120,1035,2352,0,6,5,2,0
AFRAMER 111,39,22792,4,3,0,0,0
PHYSICS 15c,4093,8676,0,3,11,6,2
OEB 118,3945,7752,4,3,0,0,0
PSY 2420,4322,8446,1,3,1,0,0
E-PSCI 236,701,7250,0,2,2,1,2
STAT 221,4848,5959,0,1,2,0,0
PSY 2650,4342,7147,0,3,4,1,0
MICROBI 213,3313,7905,1,4,1,0,0
RELIGION 1400,5055,4486,1,2,0,0,0
HAA 101,2557,98483,2,4,0,0,0
NEUROBIO 207,3349,4977,2,11,1,1,0
YIDDISH A,3900,4623,2,2,1,0,0
YORUBA A,104,29,0,3,0,0,0
MCB 80,3532,6052,55,96,12,0,1
ECON 1430,984,5549,5,5,1,0,0
MATH 23b,2840,8571,0,10,33,9,2
CHEM 27,480,5978,3,72,72,26,3
MATH 129,2862,2345,0,2,6,1,0
PHIL 144,4054,1111,2,1,3,1,0
PHYSICS 15b,4092,2701,4,13,9,3,1
PHYSICS 15a,4091,1984,1,8,16,3,0
PORTUG Ad,4444,1315,13,13,0,0,0
JAPAN Bb,842,8728,2,8,10,4,1
PHYSCI 1,541,2225,14,81,51,15,0
ECON 1011b,957,6993,7,38,14,3,0
GOV 1295,2224,4241,18,34,10,6,2
ECON 1760,1002,77458,1,8,5,1,0
COMPSCI 286r,1281,1099,0,1,4,1,0
ENGLISH 98r,1520,3831,1,9,6,1,0
ENG-SCI 120,1331,1493,0,4,15,1,0
CHNSE 130b,766,2917,2,7,9,6,1
VES 153br,5210,3477,0,0,2,1,4
APMTH 107,1120,6411,0,4,12,3,0
APMTH 115,1122,1768,0,7,9,1,2
GOV 2006,2250,5487,0,4,1,0,0
ENG-SCI 173,1345,3490,0,2,2,1,0
PHYSICS 145,4106,6057,0,0,5,1,0
GOV 2080,2259,4345,0,1,1,1,0
ECON 2530b,1067,7144,0,1,3,2,1
APPHY 291,1158,1761,2,4,2,0,0
COMPSCI 152,1237,6841,0,1,3,1,3
OEB 121a,3947,4049,0,2,0,4,1
